User_ID,Gender,Age,Occupation
1000001,F,0-17,10
1000002,M,55+,16
1000003,M,26-35,15
1000004,M,46-50,7
1000005,M,26-35,20
1000006,F,51-55,9
1000007,M,36-45,1
1000008,M,26-35,12
1000009,M,26-35,17
1000010,F,36-45,1
1000011,F,26-35,1
1000012,M,26-35,12
1000013,M,46-50,1
1000014,M,36-45,0
1000015,M,26-35,7
1000016,F,36-45,0
1000017,M,51-55,1
1000018,F,18-25,3
1000019,M,0-17,10
1000021,M,18-25,16
1000022,M,18-25,15
1000023,M,36-45,0
1000024,F,26-35,7
1000025,M,18-25,4
1000026,M,26-35,7
1000027,M,26-35,11
1000028,F,26-35,1
1000029,M,36-45,7
1000030,F,36-45,7
1000031,M,55+,7
1000032,F,26-35,0
1000033,M,46-50,3
1000034,F,18-25,0
1000035,M,46-50,1
1000036,M,26-35,3
1000037,F,26-35,9
1000039,M,18-25,4
1000041,F,18-25,4
1000042,M,26-35,8
1000043,M,26-35,12
1000044,M,46-50,17
1000045,F,46-50,16
1000046,M,18-25,19
1000047,M,18-25,4
1000048,M,26-35,4
1000049,M,18-25,12
1000050,F,26-35,2
1000051,F,0-17,10
1000052,M,18-25,4
1000053,M,26-35,0
1000054,M,51-55,1
1000056,M,36-45,20
1000057,M,18-25,19
1000058,M,26-35,2
1000059,F,51-55,1
1000060,M,51-55,1
1000061,M,26-35,17
1000062,F,36-45,3
1000063,M,18-25,4
1000064,M,18-25,1
1000065,M,36-45,12
1000066,M,26-35,18
1000067,F,51-55,5
1000068,M,18-25,4
1000069,F,26-35,1
1000070,M,18-25,4
1000071,M,26-35,14
1000072,F,46-50,0
1000073,M,18-25,4
1000074,M,36-45,14
1000075,F,0-17,10
1000076,M,36-45,7
1000077,M,18-25,4
1000078,F,46-50,1
1000079,F,46-50,0
1000080,M,55+,1
1000081,F,26-35,0
1000082,M,26-35,17
1000083,F,26-35,2
1000084,M,18-25,4
1000085,M,18-25,4
1000086,F,0-17,10
1000087,M,26-35,14
1000088,F,46-50,1
1000089,F,55+,9
1000090,M,55+,13
1000091,M,36-45,7
1000092,F,18-25,4
1000093,M,26-35,17
1000094,M,26-35,17
1000095,M,46-50,0
1000096,F,26-35,16
1000097,F,36-45,3
1000099,F,0-17,10
1000100,M,36-45,17
1000101,F,18-25,3
1000102,M,36-45,19
1000103,M,46-50,7
1000105,M,46-50,12
1000106,F,36-45,11
1000107,M,46-50,18
1000108,M,26-35,12
1000109,M,46-50,15
1000110,M,26-35,2
1000111,M,36-45,15
1000112,M,26-35,16
1000113,M,18-25,12
1000114,F,26-35,2
1000116,M,26-35,17
1000117,M,26-35,17
1000118,M,36-45,17
1000119,F,0-17,10
1000120,M,26-35,11
1000121,M,36-45,7
1000122,F,18-25,4
1000123,M,36-45,9
1000124,M,55+,7
1000125,M,46-50,14
1000126,M,18-25,9
1000127,F,46-50,3
1000128,M,55+,6
1000129,M,26-35,11
1000130,M,36-45,17
1000131,M,18-25,4
1000132,M,26-35,17
1000133,F,26-35,0
1000134,M,26-35,0
1000135,M,18-25,4
1000136,M,18-25,2
1000137,F,46-50,6
1000138,M,18-25,20
1000139,F,26-35,20
1000140,F,36-45,1
1000142,M,26-35,7
1000143,M,18-25,3
1000145,M,18-25,4
1000146,F,36-45,20
1000147,M,18-25,4
1000148,M,51-55,17
1000149,M,26-35,1
1000150,M,36-45,7
1000151,F,26-35,20
1000152,M,18-25,4
1000153,M,0-17,10
1000154,M,51-55,20
1000155,M,36-45,12
1000156,F,46-50,7
1000157,M,36-45,16
1000158,M,55+,7
1000159,F,46-50,0
1000160,M,36-45,7
1000161,M,46-50,16
1000162,F,18-25,4
1000163,M,18-25,4
1000165,M,18-25,16
1000166,M,18-25,4
1000169,M,26-35,7
1000170,M,26-35,11
1000171,F,51-55,17
1000172,M,26-35,3
1000173,M,26-35,0
1000174,M,26-35,16
1000175,F,26-35,2
1000176,F,18-25,3
1000177,M,51-55,1
1000178,M,55+,17
1000179,M,26-35,0
1000180,M,46-50,12
1000181,M,18-25,17
1000182,M,18-25,4
1000183,F,46-50,1
1000184,F,26-35,0
1000185,M,46-50,0
1000186,M,18-25,5
1000187,F,46-50,1
1000188,M,55+,16
1000190,M,26-35,17
1000191,M,18-25,4
1000192,M,18-25,1
1000193,F,46-50,15
1000194,F,0-17,10
1000195,M,26-35,12
1000196,F,36-45,9
1000197,M,18-25,14
1000198,M,26-35,12
1000199,M,18-25,4
1000200,F,18-25,4
1000201,F,36-45,2
1000202,M,18-25,4
1000203,F,18-25,4
1000204,M,26-35,7
1000205,M,36-45,12
1000206,M,26-35,17
1000208,M,36-45,17
1000209,M,36-45,1
1000210,F,0-17,10
1000211,M,46-50,17
1000212,M,26-35,16
1000214,M,18-25,20
1000215,M,36-45,14
1000216,M,46-50,13
1000217,M,18-25,4
1000218,M,36-45,14
1000219,F,26-35,4
1000220,M,26-35,12
1000221,F,26-35,0
1000222,M,26-35,1
1000223,M,26-35,17
1000225,M,26-35,7
1000227,M,36-45,20
1000228,M,26-35,15
1000229,M,18-25,10
1000230,M,46-50,1
1000231,M,26-35,3
1000232,M,26-35,20
1000233,F,46-50,20
1000234,M,36-45,7
1000235,M,26-35,0
1000236,M,26-35,5
1000237,M,26-35,6
1000238,F,51-55,7
1000239,M,18-25,19
1000240,M,51-55,17
1000242,F,18-25,4
1000243,M,26-35,16
1000244,M,51-55,7
1000245,M,36-45,16
1000246,F,18-25,4
1000249,F,18-25,14
1000250,M,36-45,16
1000251,M,55+,17
1000252,M,26-35,12
1000253,F,26-35,11
1000254,M,36-45,17
1000255,M,36-45,0
1000256,M,46-50,16
1000257,M,18-25,18
1000258,M,26-35,7
1000259,M,26-35,1
1000260,M,18-25,19
1000261,M,26-35,20
1000262,F,26-35,1
1000263,F,26-35,7
1000264,M,36-45,0
1000265,F,36-45,7
1000266,M,36-45,11
1000267,M,46-50,12
1000268,F,18-25,12
1000269,M,26-35,2
1000270,M,51-55,14
1000271,M,18-25,4
1000272,M,18-25,0
1000273,M,18-25,4
1000274,M,18-25,4
1000275,M,26-35,0
1000276,M,46-50,16
1000278,M,46-50,18
1000279,M,26-35,14
1000280,M,51-55,7
1000281,F,36-45,0
1000282,M,26-35,17
1000284,M,26-35,12
1000285,F,36-45,0
1000287,M,51-55,13
1000289,F,26-35,0
1000291,M,36-45,12
1000292,M,36-45,7
1000293,M,55+,1
1000295,M,18-25,0
1000296,M,51-55,5
1000297,M,18-25,2
1000298,F,18-25,4
1000299,M,26-35,12
1000300,M,26-35,7
1000301,M,18-25,4
1000302,M,18-25,4
1000303,M,26-35,7
1000304,M,26-35,0
1000305,F,18-25,0
1000306,M,18-25,0
1000307,M,51-55,16
1000308,M,26-35,2
1000309,M,26-35,4
1000310,F,18-25,4
1000311,M,18-25,4
1000312,F,51-55,2
1000313,F,18-25,4
1000314,F,55+,9
1000315,F,55+,1
1000316,M,55+,13
1000318,F,55+,13
1000319,F,51-55,6
1000320,M,36-45,6
1000321,M,18-25,4
1000322,M,55+,17
1000323,M,46-50,12
1000324,M,36-45,17
1000325,F,51-55,3
1000326,M,51-55,11
1000327,M,36-45,18
1000328,M,36-45,12
1000329,M,36-45,7
1000330,M,55+,7
1000331,M,26-35,7
1000332,M,51-55,1
1000333,M,36-45,2
1000334,F,55+,2
1000335,M,36-45,18
1000336,M,18-25,0
1000337,M,18-25,19
1000338,M,36-45,7
1000339,M,51-55,7
1000340,F,26-35,3
1000342,M,18-25,12
1000343,F,36-45,3
1000344,M,36-45,14
1000345,M,26-35,12
1000346,F,26-35,0
1000347,F,55+,1
1000348,M,51-55,7
1000349,M,0-17,10
1000350,M,46-50,20
1000351,M,18-25,4
1000352,M,18-25,4
1000353,F,36-45,7
1000354,M,36-45,1
1000355,M,18-25,3
1000356,M,55+,20
1000357,M,18-25,0
1000359,M,26-35,17
1000360,M,36-45,17
1000362,M,36-45,20
1000363,M,18-25,10
1000365,F,18-25,4
1000366,M,51-55,15
1000368,M,26-35,0
1000369,M,36-45,1
1000370,M,18-25,17
1000371,M,18-25,4
1000372,F,18-25,4
1000374,F,36-45,14
1000375,M,26-35,2
1000376,M,36-45,1
1000377,M,26-35,17
1000379,F,36-45,1
1000380,M,26-35,2
1000381,M,36-45,17
1000382,F,36-45,20
1000383,F,26-35,7
1000384,M,26-35,11
1000385,M,26-35,6
1000386,M,26-35,0
1000387,F,36-45,7
1000388,F,26-35,0
1000389,M,26-35,6
1000390,M,26-35,4
1000391,M,46-50,11
1000392,M,18-25,7
1000393,M,36-45,17
1000394,M,18-25,0
1000396,M,26-35,1
1000397,M,36-45,17
1000398,M,26-35,17
1000399,F,36-45,6
1000400,F,18-25,3
1000401,M,18-25,0
1000402,M,26-35,11
1000403,M,18-25,4
1000405,M,55+,1
1000406,M,26-35,20
1000408,M,26-35,11
1000409,M,18-25,12
1000410,F,26-35,1
1000411,F,46-50,1
1000412,M,36-45,15
1000413,M,26-35,11
1000414,M,26-35,0
1000415,F,36-45,0
1000416,M,46-50,14
1000417,F,26-35,0
1000418,F,26-35,3
1000419,M,18-25,3
1000420,M,36-45,1
1000421,F,46-50,3
1000422,M,55+,17
1000423,M,18-25,4
1000424,M,26-35,17
1000425,M,26-35,12
1000426,M,18-25,4
1000429,M,18-25,0
1000430,F,18-25,10
1000431,M,18-25,10
1000433,M,51-55,6
1000434,F,46-50,3
1000435,M,26-35,7
1000436,M,18-25,4
1000437,M,36-45,17
1000438,M,18-25,11
1000439,M,36-45,14
1000442,M,26-35,1
1000443,M,26-35,3
1000444,M,55+,0
1000445,M,46-50,12
1000446,F,51-55,0
1000447,F,46-50,11
1000448,M,26-35,17
1000449,M,26-35,7
1000450,M,46-50,1
1000451,M,55+,13
1000452,M,51-55,17
1000453,M,18-25,4
1000454,M,26-35,20
1000456,M,36-45,0
1000457,M,18-25,4
